clip_name,code_switched,original_transcription,new_transcription,timestamp,processed,annotator
HH20211026[41_597-42_021].wav,,lǎìlɔ̀ðɔ́ díjó nd̪ɔ̀bà,,,,Aaron
HH20211026[42_033-42_070].wav,,lǎìlɔ̀ðɔ́ díjó nd̪ɔ̀bà,,,,Aaron
HH20211026[42_131-42_148].wav,,lǎìlɔ̀ðɔ́ díjó nd̪ɔ̀bà,,,,Aaron
HH20211026[45_404-45_412].wav,,mə́ɲát̪ɔ́,,,,Aaron
HH20211026[45_517-45_557].wav,,ŋìðìní ŋàmə́ɲàt̪ɛ̀ núr ùnɛ̀rɛ̀,,,,Aaron
HH20211026[46_012-46_028].wav,,ŋìðìní ŋàmə́ɲàt̪ɛ̀ núr ùnɛ̀rɛ̀,,,,Aaron
HH20211026[46_074-46_099].wav,,ŋìðìní ŋàmə́ɲàt̪ɛ̀ núr ùnɛ̀rɛ̀,,,,Aaron
HH20211026[46_355-46_366].wav,,lɔ̀bìðí bacum,,,,Aaron
HH20211026[47_017-47_023].wav,,lɔ̀bìðí,,,,Aaron
HH20211026[47_369-47_376].wav,,jàbùðò,,,,Aaron
HH20211026[47_379-47_386].wav,,jàbùðò,,,,Aaron
HH20211026[48_069-48_097].wav,,jàbùðôĺ bàcúm gɛ̀,,,,Aaron
HH20211026[48_103-48_133].wav,,jàbùðôĺ bàcúm gɛ̀,,,,Aaron
HH20211026[48_187-48_221].wav,,jàbùðôĺ bàcúm gɛ̀,,,,Aaron
HH20211026[48_370-48_376].wav,,làbðò,,,,Aaron
HH20211026[48_398-48_404].wav,,làbðò,,,,Aaron
HH20211026[48_516-48_530].wav,,ðàbùðôl bàcúm gɛ̀,,,,Aaron
HH20211026[48_538-48_553].wav,,ðà àbðôl bàcúm gɛ̀,,,,Aaron
HH20211026[48_579-48_595].wav,,ðà àbðôl bàcùm gɛ̀,,,,Aaron
HH20211026[50_055-50_133].wav,,wɛ̌ lɔ́mán lɛ́nɛ̌ nɛ̀ ŋìðìní ḿɲât̪ɛ̀ núr wɛ́ lɔ̀bìðì bàcúm gɛ̀,,,,Aaron
HH20211026[50_199-50_289].wav,,wɛ̌ lɔ́mán lɛ́nɛ̌ nɛ̀ ŋìðìní ḿɲât̪ɛ̀ núr wɛ́ lɔ̀bìðì bàcúm gɛ̀,,,,Aaron
HH20211026[50_374-50_414].wav,,wɛ̌ lɔ́mán lɛ́nɛ̀ nɛ̀ ŋìðìní ḿɲât̪ɛ̀ núr wɛ́ lɔ̀bìðì bàcúm gɛ̀,,,,Aaron
HH20211026[52_116-52_122].wav,,ɛɽði,,,,Aaron
HH20211026[52_478-52_506].wav,,ŋartɛ kamaɽa ŋiðini,,,,Aaron
HH20211026[53_003-53_019].wav,,ara na rəmnɛt̪ɛ,,,,Aaron
HH20211026[53_149-53_156].wav,,wɛ,,,,Aaron
HH20211026[53_177-53_275].wav,,wɛ̌ nɛ̀ bàcúm ŋɛ́ɽɛ̀ðè ŋárt̪ɛ̀ kámàɽà ŋìðìní árá nà rámnɛ̀t̪ɛ̀ t̪à,,,,Aaron
HH20211026[53_331-53_343].wav,,árá nà rámnɛ̀t̪ɛ̀ t̪à,,,,Aaron
HH20211026[53_485-53_501].wav,,ŋèðèní ŋəramna,,,,Aaron
HH20211026[53_575-53_590].wav,,ŋìðìní ŋə̀ràmnà,,,,Aaron
HH20211026[54_365-54_373].wav,,t̪a po,,,,Aaron
HH20211026[54_442-54_474].wav,,árá nà rámnɛ̀t̪ɛ̀ t̪á pò,,,,Aaron
HH20211026[54_583-55_017].wav,,árâá nà rámnɛ̀t̪ɛ̀ t̪á pò,,,,Aaron
HH20211026[55_183-55_269].wav,,wɛ̌ nɛ̀ bàcûḿ ŋɛ́ɽɛ̀ðè ŋárt̪ɛ̀ kámàɽà ŋìðìní árá nà rámnɛ̀t̪ɛ̀ t̪á pò,,,,Aaron
HH20211026[55_276-55_283].wav,,ara,,,,Aaron
HH20211102[00_496-00_541].wav,,nàvlà nɛ́ gúɽì nàjínò ùlíŋgɛ̀,,,,Aaron
HH20211102[03_166-03_198].wav,,nàvlà nɛ́ gúɽì nɛ́ nàjínò ùlíŋgɛ̀,,,,Aaron
HH20211102[03_221-03_250].wav,,nàvlà nɛ́ gúɽì nɛ́ nàjínò ùlíŋgɛ̀,,,,Aaron
HH20211102[03_311-03_320].wav,,nájínò,,,,Aaron
HH20211102[03_321-03_333].wav,,nájínò,,,,Aaron
HH20211102[04_009-04_042].wav,,nɛ̀vlà nɛ́ gúɽì nɛ̀ nàíjǎ ɛ̀ðɛ̀ ùlíŋgɛ̀,,,,Aaron
HH20211102[04_068-04_091].wav,,nàíjǎ ɛ̀ðɛ̀ ùlíŋgɛ̀,,,,Aaron
HH20211102[04_198-04_245].wav,,nɛ̀vlà nɛ́ gúɽì nɛ́ nàíjǎ ɛ̀ðɛ̀ ùlíŋgɛ̀,,,,Aaron
HH20211102[05_124-05_152].wav,,nɛ̀vlà nɛ́ gúɽì nɛ́ nájínò ùlíŋgɛ̀,,,,Aaron
HH20211102[05_296-05_327].wav,,nɛ̀vlà nɛ́ gúɽì nɛ́ nájínò ùlíŋgɛ̀,,,,Aaron
HH20211102[05_341-05_351].wav,,nɛ́ gúɽì,,,,Aaron
HH20211102[06_318-06_342].wav,,lìɟí lájínò ŋámɽáɾè,,,,Aaron
HH20211102[06_386-06_421].wav,,lìɟí lájínò ŋámɽáɾè,,,,Aaron
HH20211102[07_039-07_049].wav,,ŋámɽáɾè,,,,Aaron
HH20211102[07_380-07_392].wav,,ŋámɽáɾè,,,,Aaron
HH20211102[08_514-08_533].wav,,lìɟí lájínò ŋámɽáɾè,,,,Aaron
HH20211102[09_205-09_229].wav,,lìɟí lâjìnɔ́ ŋàmɽárè,,,,Aaron
HH20211102[09_243-09_264].wav,,lìɟí lâjìnɔ́ ŋàmɽárè,,,,Aaron
HH20211102[09_303-09_335].wav,,láìjìnɔ́ ŋàmɽárè,,,,Aaron
HH20211102[09_385-09_410].wav,,lìɟí lâjìnɔ́ ŋàmɽárè,,,,Aaron
HH20211102[10_394-10_417].wav,,lìjìnɔ́ ŋàmɽárè ùnɛ̀rɛ̀,,,,Aaron
HH20211102[10_425-10_445].wav,,lìjìnɔ́ ŋàmɽárè ùnɛ̀rɛ̀,,,,Aaron
HH20211102[10_468-10_492].wav,,lìjìnɔ́ ŋàmɽárè ùnɛ̀rɛ̀,,,,Aaron
HH20211102[10_549-10_558].wav,,lìjìnɔ̀,,,,Aaron
HH20211102[10_580-10_592].wav,,lìjìnɔ́,,,,Aaron
HH20211102[11_052-11_066].wav,,lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[11_135-11_152].wav,,lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[11_577-11_596].wav,,lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[12_049-12_067].wav,,lìjìnɔ́ ŋàmɽárè ùnɛ̀rɛ̀,,,,Aaron
HH20211102[12_170-12_186].wav,,únɛ̀rɛ̀ lìjìnɔ́ ŋàmɽárè,,,,Aaron
HH20211102[12_248-12_268].wav,,únɛ̀rɛ̀ lìjìnɔ́ ŋàmɽárè,,,,Aaron
HH20211102[12_494-12_505].wav,,lìjìnɔ́,,,,Aaron
HH20211102[12_506-12_517].wav,,lìjìnɔ́,,,,Aaron
HH20211102[13_201-13_212].wav,,lìjìnɔ́ únɛ̀rɛ̀,,,,Aaron
HH20211102[13_233-13_242].wav,,lìjìnɔ́ únɛ̀rɛ̀,,,,Aaron
HH20211102[13_371-13_384].wav,,lìjɔ̂lú ùnɛ̀ɾɛ̀,,,,Aaron
HH20211102[13_403-13_415].wav,,lìjɔ̂lú ùnɛ̀ɾɛ̀,,,,Aaron
HH20211102[13_465-13_480].wav,,lìjɔ̂lú ùnɛ̀ɾɛ̀,,,,Aaron
HH20211102[13_572-13_596].wav,,lìjɔ̂lú ùnɛ̀ɾɛ̀,,,,Aaron
HH20211102[15_033-15_047].wav,,lìjìnɔ́ únɛ̀rɛ̀,,,,Aaron
HH20211102[16_107-16_150].wav,,lìɟí lɛ̂ɛ́ lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[16_168-16_203].wav,,lìɟí lɛ̂ɛ́ lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[16_247-16_275].wav,,lìɟí lɛ́ lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[16_398-16_437].wav,,lìɟí lâí lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[16_447-16_498].wav,,lìɟí lâí lìjìnɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[17_134-17_168].wav,,lìɟí lɔ̂ń lìjinɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[17_266-17_300].wav,,lìɟí lɔ̂ń lìjinɔ́ únɛ̀rɛ̀ ŋàmɽárè,,,,Aaron
HH20211102[19_377-19_407].wav,,lìɟí lɛ́ lòú làðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[19_417-19_440].wav,,lìɟí lɛ́ lòú làðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[19_551-19_591].wav,,lìɟí lɛ́ lòú làðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[20_024-20_048].wav,,lìɟí lɛ́ lòú làðíjìnɔ̌,,,,Aaron
HH20211102[20_060-20_071].wav,,làðíjînɔ̀,,,,Aaron
HH20211102[20_072-20_091].wav,,làðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[20_183-20_206].wav,,lìɟí lɛ́ lòú làðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[20_300-20_316].wav,,làðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[20_430-20_455].wav,,lìɟí lɛ́ lòú làðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[20_549-20_570].wav,,lìɟí lɛ́ lɛ̀ðíjìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[21_400-21_413].wav,,lìɟí lɛ́ lɛ́jìnɔ̀ ŋàmɽárè,,,,Aaron
HH20211102[22_078-22_099].wav,,lìɟí láì lɛ̀ðíjînɔ̀ ŋàmɽárɛ̀,,,,Aaron
HH20211102[22_189-22_205].wav,,láðíjînɔ̀ ŋàmɽárɛ̀,,,,Aaron
HH20211102[22_226-22_249].wav,,lìɟí láì lɛ̀ðíjînɔ̀ ŋàmɽárɛ̀,,,,Aaron
HH20211102[22_309-22_318].wav,,ŋàmɽárɛ̀,,,,Aaron
HH20211102[22_319-22_331].wav,,ŋàmɽárɛ̀,,,,Aaron
HH20211102[22_339-22_369].wav,,lìɟí láì lɛ̀ðíjînɔ̀ ŋàmɽárɛ̀,,,,Aaron
HH20211102[22_404-22_416].wav,,ŋàmɽárɛ̀,,,,Aaron
HH20211102[22_558-22_584].wav,,lìɟí lɔ̂n làðíjînɔ̀ nàmɽárɛ̀,,,,Aaron
HH20211102[23_004-23_023].wav,,lìɟí lɔ̂n làðíjînɔ̀ nàmɽárɛ̀,,,,Aaron
HH20211102[23_388-23_405].wav,,lìɟí lɔ̂n làðíjînɔ̀ nàmɽárɛ̀,,,,Aaron
HH20211102[27_067-27_080].wav,,lìt̪ìró láíjà nɛ̀vlà dɛ̀,,,,Aaron
HH20211102[27_161-27_192].wav,,lìt̪ìró láíjà nàvlà dɛ̀,,,,Aaron
HH20211102[27_401-27_423].wav,,lìt̪ìró láíjà nɛ̀vlà dɛ̀,,,,Aaron
HH20211102[27_578-28_003].wav,,lìt̪ìró láíjà nɛ̀vlà dɛ̀,,,,Aaron
HH20211102[28_017-28_042].wav,,lìt̪ìró láíjà nɛ̀vlà dɛ̀,,,,Aaron
HH20211102[28_306-28_338].wav,,lìt̪iró lòú líjà nàvlà,,,,Aaron
HH20211102[28_347-28_371].wav,,lìt̪iró lòú líjà nàvlà,,,,Aaron
HH20211102[28_392-28_416].wav,,lìt̪iró lòú líjà nàvlà,,,,Aaron
HH20211102[29_520-29_539].wav,,lìɟí líjà nɛ̀və̀là lìcò,,,,Aaron
HH20211102[29_556-29_576].wav,,lìɟí líjà nɛ̀və̀là lìcò,,,,Aaron
HH20211102[30_019-30_038].wav,,lìɟí líjà nɛ̀və̀là lìcò,,,,Aaron
HH20211102[30_383-30_389].wav,,nàvlà,,,,Aaron
HH20211102[31_117-31_131].wav,,nàvlà nàú nî,,,,Aaron
HH20211102[31_146-31_160].wav,,nàvlà nàú nî,,,,Aaron
HH20211102[31_199-31_220].wav,,nàvlà nàú nî,,,,Aaron
HH20211102[32_310-32_324].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[32_340-32_354].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[33_031-33_043].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[33_136-33_147].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[33_319-33_336].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[33_339-33_348].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[33_544-33_556].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[33_591-33_598].wav,,íjɔ́ ŋamɽárɛ̀,,,,Aaron
HH20211102[34_321-34_332].wav,,jínɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[34_371-34_384].wav,,jínɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[34_482-34_494].wav,,jínɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[35_022-35_035].wav,,jìnɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[35_039-35_052].wav,,jìnɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[35_078-35_092].wav,,jìnɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[35_396-35_409].wav,,jínɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[35_426-35_440].wav,,jìnɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[35_450-35_463].wav,,jínɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[35_466-35_480].wav,,jìnɔ́ ùlíŋgɛ̀,,,,Aaron
HH20211102[36_018-36_032].wav,,ɔ́dɔ́ ìŋnà,,,,Aaron
HH20211102[36_055-36_072].wav,,ɔ́dɔ́ ìŋnà,,,,Aaron
HH20211102[36_192-36_207].wav,,ɔ̀dá ìŋnà,,,,Aaron
HH20211102[36_228-36_243].wav,,ɔ̀dá ìŋnà,,,,Aaron
HH20211102[36_375-36_398].wav,,lɔ̀dɔ́ íŋnà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[36_419-36_441].wav,,lɔ̀dɔ́ íŋnà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[37_231-37_244].wav,,lɔ́dɛ̀ íŋnà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[37_259-37_276].wav,,lɔ́dɛ̀ íŋnà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[37_338-37_350].wav,,lɔ́dɛ̀ íŋnà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[38_083-38_092].wav,,lɔ́dɛ̀,,,,Aaron
HH20211102[38_092-38_101].wav,,lɔ́dɛ̀,,,,Aaron
HH20211102[38_486-38_504].wav,,lɔ́dà ìŋnà nd̪ɔ̀bà,,,,Aaron
HH20211102[38_516-38_534].wav,,lɔ́dâ ìŋnà nd̪ɔ̀bà,,,,Aaron
HH20211102[38_561-38_576].wav,,lɔ́dâ ìŋnà nd̪ɔ̀bà,,,,Aaron
HH20211102[39_146-39_163].wav,,lɔ́dɔ́ íŋnà nd̪ɔ̀bà,,,,Aaron
HH20211102[39_169-39_185].wav,,lɔ̂dɔ́ íŋnà nd̪ɔ̀bà,,,,Aaron
HH20211102[39_440-39_449].wav,,lɔ́dɔ́,,,,Aaron
HH20211102[39_450-39_459].wav,,lɔ́dɔ́,,,,Aaron
HH20211102[39_491-39_506].wav,,lɔ́dɔ́ íŋnà nd̪ɔ̀bà,,,,Aaron
HH20211102[39_518-39_535].wav,,lɔ́dɔ́ íŋnà nd̪ɔ̀bà,,,,Aaron
HH20211102[40_581-40_598].wav,,ìnd̪ɔ́t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[41_303-41_324].wav,,ìnd̪ɔ̀t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[41_374-41_388].wav,,ìnd̪ɔ̀t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[41_439-41_455].wav,,ìnd̪ɔ̀t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[41_464-41_482].wav,,ìnd̪ɔ̀t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[41_598-42_012].wav,,ìnd̪ɔ̀t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[42_097-42_108].wav,,índ̪ɔ́t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[42_119-42_130].wav,,índ̪ɔ́t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[42_183-42_194].wav,,índ̪ɔ́t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[42_332-42_349].wav,,ìnd̪ɔ̀t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[42_356-42_374].wav,,índ̪ɔ́t̪ɔ́ ɛ̀vlà,,,,Aaron
HH20211102[42_486-42_512].wav,,lìnd̪ɔ̀t̪ɔ́ ɛ́vlà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[42_528-42_560].wav,,lìnd̪ɔ̀t̪ɔ́ ɛ́vlà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[43_002-43_026].wav,,lìnd̪ɔ̀t̪ɔ́ ɛ́vlà ùnɛ̀rɛ̀,,,,Aaron
HH20211102[43_600-44_028].wav,,láínd̪ɔ̂t̪ɔ̀ ɛ̀və̀là nd̪ɔ̀bà,,,,Aaron
HH20211102[44_390-44_425].wav,,làíǹd̪ɔ̀t̪ɔ́ ɛ́və̀là nd̪ɔ̀bà,,,,Aaron
HH20211102[44_457-44_479].wav,,làíǹd̪ɔ̀t̪ɔ́ ɛ́və̀là nd̪ɔ̀bà,,,,Aaron
HH20211102[44_547-44_559].wav,,láínd̪ɔ̀t̪ɔ́,,,,Aaron
HH20211102[44_564-44_576].wav,,láìnd̪ɔ̀t̪ɔ́,,,,Aaron
HH20211102[45_014-45_038].wav,,làíǹd̪ɔ̀t̪ɔ́ ɛ́və̀là nd̪ɔ̀bà,,,,Aaron
HH20211102[45_464-45_477].wav,,kɔ́t̪ɔ́ ùnì,,,,Aaron
HH20211102[45_515-45_527].wav,,kɔ́t̪ɔ́ ùnì,,,,Aaron
HH20211102[46_067-46_073].wav,,ùnì,,,,Aaron
HH20211102[46_149-46_157].wav,,ùnì,,,,Aaron
HH20211102[46_271-46_284].wav,,kɔ̀t̪á ùnì,,,,Aaron
HH20211102[46_300-46_313].wav,,kɔ̀t̪á ùnì,,,,Aaron
HH20211102[46_460-46_487].wav,,lə̀kɔ̀t̪ɔ́ únì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[46_516-46_546].wav,,lə̀kɔ̀t̪ɔ́ únì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[46_572-46_599].wav,,lə̀kɔ̀t̪ɔ́ únì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[47_452-47_469].wav,,làkɔ́t̪ɛ̀ nùnì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[47_533-47_551].wav,,làkɔ́t̪ɛ̀ nùnì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[48_121-48_135].wav,,làkɔ́t̪ɛ̀ nùnì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[48_366-48_382].wav,,làkɔ́t̪ɛ̀ ùnì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[49_461-49_496].wav,,lákɔ́t̪ǎ ùnì nd̪ɔ̀bà,,,,Aaron
HH20211102[49_506-49_518].wav,,lákɔ́t̪ǎ,,,,Aaron
HH20211102[50_146-50_173].wav,,lākɔ́t̪à ùnì nd̪ɔ̀bà,,,,Aaron
HH20211102[50_301-50_329].wav,,lâkɔ̀t̪ɔ́ únì nd̪ɔ̀bà,,,,Aaron
HH20211102[50_339-50_374].wav,,lâkɔ̀t̪ɔ́ únì nd̪ɔ̀bà,,,,Aaron
HH20211102[50_542-50_564].wav,,lâkɔ̀t̪ɔ́ únì nd̪ɔ̀bà,,,,Aaron
HH20211102[50_577-51_002].wav,,lâkɔ̀t̪ɔ́ únì nd̪ɔ̀bà,,,,Aaron
HH20211102[51_473-51_489].wav,,lə̀kɔ̀t̪ɔ́ únì ùnɛ̀rɛ̀,,,,Aaron
HH20211102[54_136-54_152].wav,,úrmə́ðɔ́ t̪ówə̀nì,,,,Aaron
HH20211102[54_165-54_186].wav,,úrmə́ðɔ́ t̪ówə̀nì,,,,Aaron
HH20211102[54_271-54_285].wav,,úrmúðɔ̂,,,,Aaron
HH20211102[54_287-54_298].wav,,úrmúðɔ̂,,,,Aaron
HH20211102[54_315-54_329].wav,,úrmúðɔ̂ɔ́,,,,Aaron
HH20211102[54_350-54_368].wav,,úrmúðɔ́ t̪ówə̀nì,,,,Aaron
HH20211102[55_004-55_019].wav,,ùrmùðɔ́ t̪ówə̀nì,,,,Aaron
HH20211102[55_020-55_035].wav,,ùrmùðɔ́ t̪ówə̀nì,,,,Aaron
HH20211102[55_051-55_067].wav,,ùrmùðɔ́ t̪ówə̀nì,,,,Aaron
HH20211102[55_277-55_307].wav,,lɛ̀ùrmùðɔ́ ùnɛ̀rɛ̀,,,,Aaron
HH20211102[55_435-55_451].wav,,làúrmə̀ðɛ̀ ùnɛ̀rɛ̀,,,,Aaron
HH20211102[56_254-56_272].wav,,láúrmə̀ðɔ̀ nd̪ɔ̀bà,,,,Aaron
HH20211102[56_277-56_298].wav,,lá úrmə̀ðɔ̀ nd̪ɔ̀bà,,,,Aaron
HH20211102[56_316-56_336].wav,,lá úrmə̀ðɔ̀ nd̪ɔ̀bà,,,,Aaron
HH20211102[56_470-56_489].wav,,lá úrmə̀ðɔ̀ nd̪ɔ̀bà,,,,Aaron
HH20211102[56_539-56_556].wav,,lá úrmə̀ðɔ̀,,,,Aaron
HH20211102[57_026-57_049].wav,,lá ûrmə̀ðɔ́ nd̪ɔ̀bà,,,,Aaron
HH20211102[57_283-57_302].wav,,lá úrmə̀ðɔ̀ nd̪ɔ̀bà,,,,Aaron
HH20211102[57_305-57_319].wav,,lá ùrmə̀ðɔ́,,,,Aaron
HH20211102[57_339-57_354].wav,,lá ùrmə̀ðɔ́,,,,Aaron
HH20211102[57_358-57_372].wav,,lá ùrmə̀ðɔ́,,,,Aaron
HH20220206-1[00_105-00_121].wav,,àɾò kìcə̀lò,,,,Aaron
HH20220206-1[00_129-00_145].wav,,àɾò kìcə̀lò,,,,Aaron
HH20220206-1[00_152-00_169].wav,,àɾò kìcə̀lò,,,,Aaron
HH20220206-1[00_178-00_195].wav,,làɾò lìcə̀lò,,,,Aaron
HH20220206-1[00_201-00_217].wav,,làɾò lìcə̀lò,,,,Aaron
HH20220206-1[00_223-00_240].wav,,làɾò lìcə̀lò,,,,Aaron
HH20220206-1[00_250-00_267].wav,,âɾò kìcə̀lò,,,,Aaron
HH20220206-1[00_274-00_290].wav,,âɾò kìcə̀lò,,,,Aaron
HH20220206-1[00_297-00_313].wav,,âɾò kìcə̀lò,,,,Aaron
HH20220206-1[00_322-00_337].wav,,lâɾò lìcə̀lò,,,,Aaron
HH20220206-1[00_343-00_359].wav,,lâɾò lìcə̀lò,,,,Aaron
HH20220206-1[00_361-00_375].wav,,lâɾò lìcə̀lò,,,,Aaron
HH20220206-1[00_384-00_400].wav,,láró lìcə̀lò,,,,Aaron
HH20220206-1[00_406-00_422].wav,,láró lìcə̀lò,,,,Aaron
HH20220206-1[00_429-00_445].wav,,láró lìcə̀lò,,,,Aaron
HH20220206-1[00_452-00_468].wav,,ŋáró ŋìcə̀lò,,,,Aaron
HH20220206-1[00_473-00_488].wav,,ŋáró ŋìcə̀lò,,,,Aaron
HH20220206-1[00_494-00_510].wav,,ŋáró ŋìcə̀lò,,,,Aaron
HH20220206-1[00_520-00_535].wav,,ùðɔ́ kìcə̀lò,,,,Aaron
HH20220206-1[00_541-00_553].wav,,ùðɔ́ kìcə̀lò,,,,Aaron
HH20220206-1[00_561-00_576].wav,,ùðɔ́ kìcə̀lò,,,,Aaron
HH20220206-1[00_585-01_000].wav,,lə̀ðɔ́ lìcə̀lò,,,,Aaron
HH20220206-1[01_005-01_020].wav,,lə̀ðɔ́ lìcə̀lò,,,,Aaron
HH20220206-1[01_026-01_041].wav,,lə̀ðɔ́ lìcə̀lò,,,,Aaron
HH20220206-1[01_049-01_062].wav,,úðɔ́ kìcə̀lò,,,,Aaron
HH20220206-1[01_071-01_083].wav,,úðɔ́ kìcə̀lò,,,,Aaron
HH20220206-1[01_094-01_107].wav,,úðɔ́ kìcə̀lò,,,,Aaron
HH20220206-1[01_325-01_336].wav,,lə̀ðɔ́ lìcə̀lò,,,,Aaron
HH20220224[00_094-00_115].wav,,íŋgánɔ́nà òɾà nd̪ɔ̀bà,,,,Aaron
HH20220224[00_121-00_142].wav,,íŋgánɔ́nà òɾà nd̪ɔ̀bà,,,,Aaron
HH20220224[00_149-00_170].wav,,íŋgánɔ́nà òɾà nd̪ɔ̀bà,,,,Aaron
HH20220224[00_178-00_199].wav,,íŋgánɔ́nà lòɾà nd̪ɔ̀bà,,,,Aaron
HH20220224[00_206-00_228].wav,,íŋgánɔ́nà lòɾà nd̪ɔ̀bà,,,,Aaron
HH20220224[00_235-00_256].wav,,íŋgánɔ́nà lòɾà nd̪ɔ̀bà,,,,Aaron
HH20220224[00_270-00_290].wav,,íŋgánɔ́nà óɾɛ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[00_297-00_314].wav,,íŋgánɔ́nà óɾɛ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[00_322-00_342].wav,,íŋgánɔ́nà óɾɛ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[00_354-00_373].wav,,íŋgánɔ́nà láɾɛ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[00_380-00_398].wav,,íŋgánɔ́nà láɾɛ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[00_406-00_425].wav,,íŋgánɔ́nà láɾɛ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[00_438-00_458].wav,,íŋgánɔ́nà lórá nd̪ɔ̀bà,,,,Aaron
HH20220224[00_465-00_483].wav,,íŋgánɔ́nà lórá nd̪ɔ̀bà,,,,Aaron
HH20220224[00_492-00_510].wav,,íŋgánɔ́nà lórá nd̪ɔ̀bà,,,,Aaron
HH20220224[00_522-00_540].wav,,íŋgánɔ́nà ŋórá nd̪ɔ̀bà,,,,Aaron
HH20220224[00_545-00_565].wav,,íŋgánɔ́nà ŋórá nd̪ɔ̀bà,,,,Aaron
HH20220224[00_572-00_594].wav,,íŋgánɔ́nà ŋórá nd̪ɔ̀bà,,,,Aaron
HH20220224[01_007-01_026].wav,,íŋgánɔ́nà ùðɔ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[01_033-01_053].wav,,íŋgánɔ́nà ùðɔ́ nd̪ɔ̀bà,,,,Aaron
HH20220224[01_059-01_078].wav,,íŋgánɔ́nà ùðɔ́ nd̪ɔ̀bà,,,,Aaron
